,Gender,Age,Tenure,Saving_Amount,Current_Amount,Time_Deposits_Amount,Funds_Amount,Stocks_Amount,Bank_Assurance_Amount,Life_Assurance_Amount,Business_Loan_Amount,Home_Loan_Amount,Consumer_Loan_Amount,Branch_Transactions,ATM_Transactions,Phone_Transactions,Internet_Transactions,Standing_Orders,New_Credit_Card_Flag
0,M,52,49,0.0,0.0,0.0,0.0,0.0,139.194286,0.0,0.0,20044.611429,0.0,0,0,0,0,0,0
1,F,59,49,0.0,0.0,0.0,0.0,0.0,0.0,32.205714,0.0,0.0,2430.224286,4,3,0,0,0,0
2,M,52,49,18.825714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
3,M,54,49,0.0,603.791429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,0,0,12,0
4,F,61,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.72,0,0,0,0,0,0
5,M,39,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1074.232857,1,0,0,0,0,0
6,M,55,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16,0,0,0,0,0,0
7,M,63,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0,0,0,0,0,0
8,M,50,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1003.937143,2,0,0,0,0,0
9,F,40,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.462857,0,0,0,0,0,0
10,F,65,49,8.48,0.0,0.0,0.0,0.0,70.505714,0.0,2418.974286,0.0,1684.461429,5,0,0,0,0,0
11,M,49,49,3.185714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
12,M,65,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6650.691429,0,0,0,0,0,0
13,M,43,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.165714,0,0,0,0,0,0
14,M,53,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8367.482857,4,10,0,0,0,0
15,M,49,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1578.294286,2,2,0,0,0,0
16,M,47,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051429,0,0,0,0,0,0
17,M,56,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65000.0,0.0,0,0,0,0,0,0
18,M,76,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2129.117143,1,0,0,0,0,0
19,M,65,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028571,0,0,0,0,0,0
20,M,63,49,15334.615714,207.142857,47750.57,6058.881429,0.0,0.0,0.0,0.0,5868.297143,0.0,29,21,0,0,0,0
21,M,57,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.628571,0,0,0,0,0,1
22,M,43,49,1697.498571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118667.334286,0.287143,30,12,0,0,1,0
23,F,43,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6492.125714,0,9,0,0,0,0
24,M,49,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4669.924286,23,0,0,0,0,0
25,M,45,49,583.491429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,19,1,0,0,1
26,F,51,49,4.111429,7.137143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1994.247143,11,0,0,0,0,1
27,F,60,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2692.468571,0,0,0,0,0,0
28,F,41,49,18.51,1.064286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0
29,F,51,49,0.0,52.314286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
30,F,37,49,0.0,24.933333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0,0,0,0
31,F,45,49,0.0,0.0,0.0,0.0,0.0,89.8,0.0,0.0,0.0,0.0,0,0,0,0,0,0
32,M,57,49,1.914286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
33,M,47,49,17.925714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
34,F,52,49,49.812857,0.0,0.0,0.0,0.0,322.445714,0.0,0.0,0.0,0.0,0,5,0,0,0,0
35,F,48,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,736.295714,0,0,0,0,0,0
36,M,41,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
37,M,42,49,0.0,7699.508571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,22,0,0,0,0
38,M,58,49,349.682857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0
39,M,57,49,18.041429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,715.965714,0,0,0,0,0,0
40,M,49,49,0.0,0.0,0.0,0.0,0.0,32.185714,0.0,0.0,0.0,1772.35,0,0,0,0,0,0
41,M,56,49,0.146667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.353333,2,0,0,0,0,0
42,M,50,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1385.48,0,0,0,0,0,0
43,M,44,49,5.018571,19.358571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0
44,M,43,49,1.468571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1038.588571,0,0,0,0,0,0
45,M,50,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1354.665714,2,0,0,0,0,0
46,M,53,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857,0,0,0,0,0,0
47,M,44,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.737143,0,0,0,0,0,0
48,M,57,49,0.0,13.148571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
49,M,44,49,40.614286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1240.015714,9,0,0,0,0,1
50,M,51,49,0.0,0.0,0.0,0.0,0.0,108.227143,0.0,0.0,0.0,0.0,0,0,0,0,0,0
51,M,52,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6468.884286,11,9,0,0,0,1
52,M,45,49,23.857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3130.744286,0,4,0,0,0,0
53,M,42,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.085714,5,0,0,3,0,1
54,M,49,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,0,0,0,1
55,M,40,49,23.202857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3477.714286,0,1,0,0,0,0
56,M,57,49,0.0,126.912857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,6,0,0,0,0
57,F,48,49,21.132857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11,0,0,0,0
58,M,51,49,35.388571,0.0,0.0,0.0,0.0,470.097143,0.0,0.0,75866.298571,1572.947143,4,0,0,0,0,0
59,M,48,49,178.505714,152.445714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13,0,0,0,0
60,M,57,49,17.144286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,914.39,5,0,0,0,0,0
61,M,67,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.761429,0,0,0,0,0,0
62,M,42,49,0.0,814.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0
63,M,76,49,0.0,84.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2236.761429,9,0,0,0,0,0
